genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000124942	-0.520310332832277	10.2353331829902	33.1518881840739	8.52335672942399e-09	3.71852327901341e-06	AHNAK	royalblue
ENSG00000185278	-0.282301751101344	6.69710201798459	33.0245119950734	9.10042662859099e-09	3.89393254781057e-06	ZBTB37	royalblue
ENSG00000174963	-0.574961855723988	3.51233858852417	32.975903485159	9.33082072234913e-09	3.91718417117487e-06	ZIC4	royalblue
ENSG00000138944	0.340333133618525	6.92702603033758	32.7771946702128	1.03350251580556e-08	4.25841314382847e-06	SHISAL1	gold
ENSG00000100678	0.431554271362596	4.81775651267213	32.3519225687596	1.28629880787315e-08	5.11099270457307e-06	SLC8A3	gold
ENSG00000178947	0.336661244096878	5.97098290114388	32.3518267930156	1.28636220879142e-08	5.11099270457307e-06	SMIM10L2A	gold
ENSG00000154188	-0.538456341451147	3.79653347465672	32.2627280968802	1.34671999648729e-08	5.22259442942212e-06	ANGPT1	royalblue
ENSG00000006468	0.317948308930814	5.81082911371853	32.240025347954	1.36254775420781e-08	5.22259442942212e-06	ETV1	gold
ENSG00000188766	0.455608721519541	3.62672203312534	32.2084553032047	1.38486773634115e-08	5.22259442942212e-06	SPRED3	gold
ENSG00000141433	0.685972485753445	3.69046027752167	32.1193141094231	1.4498872516271e-08	5.29921492063141e-06	ADCYAP1	gold
ENSG00000091428	0.343594486364461	8.81756675854868	32.1153903469161	1.45281847262254e-08	5.29921492063141e-06	RAPGEF4	gold
ENSG00000139915	0.241227114964172	5.42459093303836	32.0568099761327	1.49729308062329e-08	5.37335016836583e-06	MDGA2	gold
ENSG00000234456	-0.197902443401122	6.66176967695888	31.9298643462755	1.59840697271467e-08	5.61424394074297e-06	MAGI2-AS3	royalblue
ENSG00000119042	0.285343288558158	7.20186972836932	31.9099435119332	1.61488365037101e-08	5.61424394074297e-06	SATB2	gold
ENSG00000188039	-0.603132268184394	6.22741438157674	31.6449553528464	1.85094783101838e-08	6.3359368061783e-06	NWD1	royalblue
ENSG00000171502	0.412916838003197	4.48445895074692	31.5889977734944	1.90505872292382e-08	6.42180311317529e-06	COL24A1	gold
ENSG00000135298	0.225639293097795	7.97599885188653	31.5599633830281	1.93375644306851e-08	6.42180311317529e-06	ADGRB3	gold
ENSG00000188596	-0.413102503790254	4.23138590930841	31.2667782424083	2.24895387826837e-08	7.3587093810987e-06	CFAP54	royalblue
ENSG00000250802	-0.336930024890849	3.9483678411328	31.0956400618437	2.456224790492e-08	7.92043501281841e-06	ZBED3-AS1	royalblue
ENSG00000279495	-0.52403810814737	3.4038214206307	31.0371357241911	2.53138515268047e-08	8.04618852102006e-06	NA	royalblue
ENSG00000112893	-0.444317803176557	8.24786955597622	30.9528736669525	2.64370352734969e-08	8.22201490105206e-06	MAN2A1	royalblue
ENSG00000153317	0.138621700166808	6.57102771513156	30.9405038838768	2.66060706910449e-08	8.22201490105206e-06	ASAP1	gold
ENSG00000110148	0.517848720561876	3.88032002371999	30.9038000465391	2.71140350092879e-08	8.26420930077612e-06	CCKBR	gold
ENSG00000151952	0.30022994933478	5.61210232477079	30.8333019997328	2.81171075752487e-08	8.38517917907261e-06	TMEM132D	gold
ENSG00000288062	0.375318003662754	3.84074864143435	30.8231455679102	2.82646489182223e-08	8.38517917907261e-06	LOC101929748	gold
ENSG00000117245	0.4207706260078	4.29293180589836	30.7133634822307	2.99098037309758e-08	8.71234452735645e-06	KIF17	gold
ENSG00000073756	0.811002476071526	3.96873605212899	30.6966755596832	3.01681479369959e-08	8.71234452735645e-06	PTGS2	gold
