category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	11/772	37/9512	0.2972972972972973	3.6630723988236946	4.823477431138843	1.1241215314435151e-4	8.691378669941324e-4	5.916429112860605e-4	23236/3606/5579/8542/5582/2150/5331/3383/7412/3553/6401	11
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	47/772	333/9512	0.14114114114114115	1.7390343711587237	4.079952375015357	1.1835890881376499e-4	8.933279546181785e-4	6.081096818752337e-4	2308/3688/64764/3655/84441/3693/7098/2335/3371/534/3691/7132/1292/4853/8324/4242/8515/7157/1278/3678/3106/5743/3672/529/3133/10312/3659/1017/4855/4851/3107/5829/523/3913/526/83439/3911/7148/1277/6696/4854/1288/26508/7450/1026/7471/1293	47
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	13/772	50/9512	0.26	3.203523316062176	4.642770382071417	1.260844666369597e-4	9.29506416835261e-4	6.327372254731148e-4	2995/1378/5175/3689/3606/3683/7040/2994/3383/7412/3553/6401/3576	13
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	43/772	300/9512	0.14333333333333334	1.7660449050086358	4.006857669478112	1.6183032250094897e-4	0.001165913914381837	7.936654572414961e-4	51776/284/7048/2246/5058/5801/5923/25780/10368/1435/7132/4772/9448/7157/2122/2321/2768/9261/5579/84867/4804/2316/3554/7040/4791/1843/2064/4208/3791/2254/3303/2872/2250/2324/3304/5582/3315/285/5228/6237/1969/3479/3553	43
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	25/772	144/9512	0.1736111111111111	2.139104778353483	4.093431274839987	2.1366900717920283e-4	0.0015051794505734956	0.001024611613373955	721/718/3111/3109/720/716/942/3115/3108/8341/730/3113/3122/715/8367/2903/2212/3012/3123/714/3117/8969/3119/3127/8362	25
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	28/772	173/9512	0.16184971098265896	1.9941897031956635	3.922005057811565	3.1093496443180684e-4	0.00214274747228006	0.0014586193983643111	64135/3111/3109/51284/3115/7098/4261/7132/3108/4939/57506/3606/3113/3122/5579/834/5646/8743/3123/3665/3383/3117/8797/9021/3119/3127/3553/3576	28
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	16/772	78/9512	0.20512820512820512	2.527434568885346	4.025575769933227	4.3778336993783885e-4	0.0029527091121339345	0.002009979638012474	721/718/3688/720/716/3689/3678/4843/808/834/715/3659/6374/714/3553/3576	16
Organismal Systems	Immune system	hsa04611	Platelet activation	22/772	126/9512	0.1746031746031746	2.1513282342297884	3.866430227080528	4.626096449566002e-4	0.003055151196900881	0.0020797144126338384	3688/23533/6916/6850/23236/7094/1278/695/54518/2212/7408/3710/1281/196883/83706/4846/84876/1277/91807/5331/2207/7450	22
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	19/772	103/9512	0.18446601941747573	2.2728507470194677	3.860027374020345	5.493409763247972e-4	0.003553899785611443	0.002419224492944864	2335/23236/3689/1278/4843/5579/3554/7040/3913/1281/5582/3911/3315/1277/5331/1288/7850/3553/3576	19
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	19/772	105/9512	0.18095238095238095	2.2295583518381448	3.7651670233555987	7.034527163299244e-4	0.004459890221531721	0.0030359538283712528	4773/5058/6850/4772/9261/808/5743/64581/834/3659/1959/4791/26253/3710/4046/602/2207/6237/3553	19
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	17/772	91/9512	0.18681318681318682	2.3017707680920116	3.70828183677485	9.112636619213363e-4	0.005664129035863992	0.0038557079606578726	4773/3635/6850/25780/23547/4772/933/695/5579/11006/118788/11027/2213/10288/10859/11024/10990	17
