category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	10/348	88/9512	0.11363636363636363	3.1060606060606055	3.8677174032137014	0.0013462927625735098	0.015568129602835776	0.013407958509619329	730/5104/716/721/720/715/2162/3075/3426/2159	10
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	22/348	298/9512	0.0738255033557047	2.0178970917225953	3.478949095693417	0.0013608504897583721	0.015568129602835776	0.013407958509619329	4982/3953/654/7042/55540/51330/9180/1524/3554/652/57007/7850/8793/1435/7043/8797/7852/1896/6374/4804/6347/5618	22
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	13/348	140/9512	0.09285714285714286	2.538095238095238	3.5726566308213874	0.0018229344701472558	0.020052279171619815	0.017269905506658214	22808/55970/187/8862/1490/3709/8877/3710/1958/10365/4846/94235/91807	13
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	6/348	37/9512	0.16216216216216217	4.432432432432433	4.076368361268515	0.0020432774537801363	0.021643605621522927	0.018640425894134578	3040/3039/3043/3383/3250/7412	6
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	10/348	95/9512	0.10526315789473684	2.87719298245614	3.5832293934805843	0.002405793734632346	0.02457346457517325	0.021163749394886053	5596/55540/4792/2354/6280/6279/225689/727897/6374/6347	10
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	23/348	333/9512	0.06906906906906907	1.887887887887888	3.213976788794747	0.002541522211426183	0.02506466732647891	0.021586794826632554	1278/3915/1277/8324/8515/3696/1293/56288/3678/1299/8321/57801/1292/1950/3913/3655/1017/4853/7058/2335/7477/3371/1282	23
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	18/348	238/9512	0.07563025210084033	2.0672268907563023	3.2491657368928286	0.0028060508808466934	0.02675101839740514	0.02303915460063601	284/22808/51196/55970/2002/285/1950/2247/3082/627/51365/1435/1969/2322/80310/2321/94235/4804	18
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	13/348	149/9512	0.087248322147651	2.384787472035794	3.319929955337909	0.003164502628454299	0.029195088765739664	0.02514409558771837	55970/2564/140679/3709/4537/3710/4536/4535/4538/4539/94235/4540/4541	13
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	10/348	102/9512	0.09803921568627451	2.679738562091503	3.323587670757272	0.0040501914842622335	0.035483341922197736	0.030559816009548293	716/721/720/715/2215/3880/3383/3075/3875/3426	10
Environmental Information Processing	Signal transduction	hsa04340	Hedgehog signaling pathway	7/348	56/9512	0.125	3.4166666666666665	3.5344122693414493	0.004094231760253585	0.035483341922197736	0.030559816009548293	2619/2121/2735/91653/50937/6608/132884	7
