category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	4/42	37/9512	0.10810810810810811	24.483912483912484	9.531131302371888	1.9512948838271854e-5	0.0022439891164012632	0.0019512948838271856	3043/3250/3040/3553	4
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	4/42	56/9512	0.07142857142857142	16.17687074829932	7.585518359095873	1.0212247234921972e-4	0.005872042160080134	0.005106123617460987	3303/3310/3304/3553	4
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	3/42	50/9512	0.06	13.588571428571429	5.943369418885885	0.0013582110915491949	0.04152747527458009	0.036110848064852256	3043/3040/3553	3
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	4/42	112/9512	0.03571428571428571	8.08843537414966	5.025256283549001	0.00144443392259409	0.04152747527458009	0.036110848064852256	4843/3303/3310/3304	4
Organismal Systems	Digestive system	hsa04978	Mineral absorption	3/42	61/9512	0.04918032786885246	11.138173302107727	5.289912558213427	0.0024114203064145565	0.04842070961581846	0.042104964883320405	4494/4496/4495	3
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	3/42	62/9512	0.04838709677419355	10.95852534562212	5.238871185637418	0.002526297892999224	0.04842070961581846	0.042104964883320405	3303/3310/3304	3
