category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	12/71	370/9512	0.032432432432432434	4.345032356299963	5.691330982338803	1.6132908567174726e-5	0.002548999553613607	0.00241144528056717	7425/1392/6750/116/1902/146/8862/2696/5368/6863/5173/5179	12
NA	NA	hsa04081	Hormone signaling	9/71	219/9512	0.0410958904109589	5.5056916843526915	5.849770468599049	3.3267595044550693e-05	0.0026281400085195047	0.0024863149980664206	1392/6750/146/2696/5368/57817/5173/5179/2852	9
NA	NA	hsa04082	Neuroactive ligand signaling	8/71	199/9512	0.04020100502512563	5.3858022506900705	5.422056629929229	1.0966390722536044e-4	0.005775632447202316	0.00546395607929866	6539/6536/146/5368/6863/140679/5173/5179	8
